feature_set,model,gate,threshold,calls,accuracy,coverage,avg_ask,median_ask,pct_20_40,avg_time,median_time
FULL,LOGISTIC,OPEN,0.85,4,25.0,26.666666666666668,43.49999999999999,44.0,25.0,8.993042254166667,9.678475058333333
FULL,LOGISTIC,OPEN,0.9,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.715529727777778,9.531370283333333
FULL,LOGISTIC,BRTI,0.6,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.854800494444445,9.86469755
FULL,LOGISTIC,BRTI,0.65,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.854800494444445,9.86469755
FULL,LOGISTIC,BRTI,0.7,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.826638816666666,9.86469755
FULL,LOGISTIC,BRTI,0.75,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.826638816666666,9.86469755
FULL,LOGISTIC,BRTI,0.8,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.771154233333332,9.6982438
FULL,LOGISTIC,BRTI,0.85,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.771154233333332,9.6982438
FULL,LOGISTIC,BRTI,0.9,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.715529727777778,9.531370283333333
FULL,LOGISTIC,BRTI_SAFE,0.6,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.854800494444445,9.86469755
FULL,LOGISTIC,BRTI_SAFE,0.65,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.854800494444445,9.86469755
FULL,LOGISTIC,BRTI_SAFE,0.7,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.826638816666666,9.86469755
FULL,LOGISTIC,BRTI_SAFE,0.75,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.826638816666666,9.86469755
FULL,LOGISTIC,BRTI_SAFE,0.8,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.771154233333332,9.6982438
FULL,LOGISTIC,BRTI_SAFE,0.85,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.771154233333332,9.6982438
FULL,LOGISTIC,BRTI_SAFE,0.9,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.715529727777778,9.531370283333333
FULL,LOGISTIC,BRTI_SAFE_LAG,0.6,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.826638816666666,9.86469755
FULL,LOGISTIC,BRTI_SAFE_LAG,0.65,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.826638816666666,9.86469755
FULL,LOGISTIC,BRTI_SAFE_LAG,0.7,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.826638816666666,9.86469755
FULL,LOGISTIC,BRTI_SAFE_LAG,0.75,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.826638816666666,9.86469755
FULL,LOGISTIC,BRTI_SAFE_LAG,0.8,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.771154233333332,9.6982438
FULL,LOGISTIC,BRTI_SAFE_LAG,0.85,3,33.33333333333333,20.0,45.33333333333333,46.0,0.0,8.771154233333332,9.6982438
