contract,candle_end_utc,yes_ask,yes_bid,no_ask
KXBTC15M-26AUG210030-30,2026-08-21 04:17:00+00:00,0.48,0.47,0.53
KXBTC15M-26AUG210030-30,2026-08-21 04:18:00+00:00,0.48,0.47,0.53
KXBTC15M-26AUG210030-30,2026-08-21 04:19:00+00:00,0.65,0.64,0.36
KXBTC15M-26AUG210030-30,2026-08-21 04:20:00+00:00,0.56,0.55,0.4499999999999999
KXBTC15M-26AUG210030-30,2026-08-21 04:21:00+00:00,0.6,0.59,0.41
KXBTC15M-26AUG210030-30,2026-08-21 04:22:00+00:00,0.66,0.65,0.35
KXBTC15M-26AUG210030-30,2026-08-21 04:23:00+00:00,0.69,0.68,0.3199999999999999
KXBTC15M-26AUG210030-30,2026-08-21 04:24:00+00:00,0.7,0.69,0.31
KXBTC15M-26AUG210030-30,2026-08-21 04:25:00+00:00,0.53,0.52,0.48
KXBTC15M-26AUG210030-30,2026-08-21 04:26:00+00:00,0.26,0.25,0.75
KXBTC15M-26AUG210030-30,2026-08-21 04:27:00+00:00,0.44,0.43,0.5700000000000001
KXBTC15M-26AUG210030-30,2026-08-21 04:28:00+00:00,0.42,0.41,0.5900000000000001
KXBTC15M-26AUG210030-30,2026-08-21 04:29:00+00:00,0.091,0.09,0.91
KXBTC15M-26AUG210030-30,2026-08-21 04:30:00+00:00,0.001,0.0,1.0
KXBTC15M-26AUG210045-45,2026-08-21 04:31:00+00:00,0.49,0.48,0.52
KXBTC15M-26AUG210045-45,2026-08-21 04:32:00+00:00,0.79,0.78,0.2199999999999999
KXBTC15M-26AUG210045-45,2026-08-21 04:33:00+00:00,0.84,0.83,0.17
KXBTC15M-26AUG210045-45,2026-08-21 04:34:00+00:00,0.8,0.79,0.2099999999999999
KXBTC15M-26AUG210045-45,2026-08-21 04:35:00+00:00,0.87,0.86,0.14
KXBTC15M-26AUG210045-45,2026-08-21 04:36:00+00:00,0.9,0.89,0.1099999999999999
KXBTC15M-26AUG210045-45,2026-08-21 04:37:00+00:00,0.88,0.87,0.13
